EIN,URL,IMAGE_URL1,
751826501,www.huntersglen.org,751826501_1406001905.png,base url for all logos is this:
351715910,www.habitatindiana.org,351715910_1406001908.png,https://s3-us-west-1.amazonaws.com/logo-crowdsourcing/logo-images/751826501_1406001905.png
330216677,www.burrtec.com,330216677_1406355237.png,
752197418,www.gatorsdallas.com,752197418_1405945173.png,
570788617,www.orangeburgprep.com,570788617_1406120135.png,
161303574,www.salient.com,161303574_1406001924.png,
582154629,www.compleatstair.net,582154629_1406355240.png,
382519182,www.hallengineering.com,382519182_1406355244.png,
412103948,www.ntreak.com,412103948_1405826262.gif,
510502024,www.livingcolor.com,510502024_1405826185.jpg,
66001425,www.madisonps.org,066001425_1406180305.gif,
540954592,www.vansantgusler.com,540954592_1406355255.gif,
946064808,www.kff.org,946064808_1405826194.jpg,
330930532,www.jb-plastics.com,330930532_1406001987.png,
900783923,www.cloudviewecofarms.org,900783923_1406036426.png,
251415004,www.tykamerica.com,251415004_1405826199.gif,
942734503,www.dsj.org,942734503_1406355265.jpg,
592038562,www.allseasonspools.com,592038562_1406355286.png,
730712267,www.1aog.com,730712267_1406301271.png,
230668090,www.hamiltonclub.org,230668090_1405826208.jpg,
930584841,www.cascadecollections.com,930584841_1406180331.png,
541691944,www.lifecare94.com,541691944_1406139753.png,
42378858,www.qrsd.org,042378858_1406180335.png,
866005840,www.clarkdale.az.us,866005840_1405826212.gif,
570870429,www.wilsoncarsales.com,570870429_1406180347.png,
43486262,www.eastbaygrille.com,043486262_1406002012.gif,
720899984,www.partcoinc.com,720899984_1406002015.png,
202198520,www.vortx.com,202198520_1406180348.jpg,
260091642,www.cwu-inc.com,260091642_1405826224.jpg,
20449963,www.cssicontractors.com,020449963_1406180354.jpg,
251431526,www.fultz-enterprises.com,251431526_1406455527.gif,
592167564,www.elliottmerrill.com,592167564_1406405381.png,
20449966,www.daremightythings.com,020449966_1406060605.gif,
953389063,www.atascadero.org,953389063_1405982014.jpg,
721441990,www.endocenter.com,721441990_1405826244.gif,
566060727,www.clevelandcountyfair.com,566060727_1406002032.png,
870471690,www.shinecollision.com,870471690_1406002037.png,
460241792,www.godfreybrake.com,460241792_1406080347.png,
391273522,www.thesullivancorp.com,391273522_1406326238.png,
237068821,www.beardsleyzoo.org,237068821_1406180376.jpg,
43094550,www.mhic.com,043094550_1405826260.png,
391625105,www.burghomedesign.com,391625105_1406002043.gif,
421515522,www.investors.jivesoftware.com,421515522_1406295636.png,
